profile_id,prompt_condition,transport_success,parser_valid,parse_error,fit_success,fit_error,alpha_hat,c_hat,D_hat_km,inverse_s_r2,inverse_s_aicc,best_parametric_alternative,best_alternative_aicc,inverse_s_aicc_advantage,inverse_s_aicc_winner,unique_value_ratio,nonincreasing_step_fraction,local_reversal_count,normalized_second_difference
decay_setting_041,Baseline prompt,1,1,,True,,1.5138037123714314,0.0133669927569348,19.996441879702957,0.9967693308636,-875.0924733138371,exp_floor,-799.7129083236066,75.3795649902305,1.0,0.37,1.0,0.0,0.0025510204081632
decay_setting_041,Blueprint prompt,1,1,,True,,2.244589870993805,0.011362910238975,38.11722203831848,0.9995342478270604,-1011.5021782175749,exp_floor,-602.5433582287501,408.9588199888248,1.0,0.49,1.0,0.0,0.0043731778425655
decay_setting_042,Baseline prompt,1,1,,True,,1.8116058816683849,0.0007841524835039,21.82857835682619,0.999799773652526,-1140.0408969802386,exp_floor,-671.8951987805125,468.1456981997261,1.0,0.34,1.0,0.0,0.0021608643457383
decay_setting_042,Blueprint prompt,1,1,,True,,1.797115250570693,7.898371519569387e-30,52.01082973785736,0.996044083426141,-796.8390529638754,exp_floor,-575.519063942089,221.31998902178637,1.0,0.68,1.0,0.0,0.0049300619124054
decay_setting_043,Baseline prompt,1,1,,True,,1.5740085484453812,2.220020621390356e-27,38.94255748539416,0.99843909074554,-907.9615856706504,exp_floor,-637.5026646726333,270.4589209980172,1.0,0.56,1.0,0.0,0.0043731778425656
decay_setting_043,Blueprint prompt,1,1,,True,,1.6799093756671517,0.0239008903235181,43.41693913318912,0.9944916775612416,-776.8426805263098,exp_floor,-729.3553824194358,47.487298106873936,1.0,0.63,1.0,0.0,0.0043083900226757
decay_setting_044,Baseline prompt,1,1,,True,,1.4844441975003366,0.0149017933901333,25.37668110991094,0.9966476094397472,-856.474533932389,exp_floor,-777.3039800513193,79.17055388106974,1.0,0.45,1.0,0.0,0.0024295432458697
decay_setting_044,Blueprint prompt,1,1,,True,,2.024445981076678,0.0243973233673969,30.23108708862185,0.9909920542410942,-732.5813186649212,exp_floor,-709.9967922285099,22.584526436411352,1.0,0.46,1.0,0.0,0.0045974433729535
decay_setting_045,Baseline prompt,1,1,,True,,1.497599022118813,0.0170101409435901,21.628022759964114,0.987239753647676,-730.1787156106035,exp_floor,-913.4713950626888,-183.2926794520854,0.0,0.42,1.0,0.0,0.0020183897734918
decay_setting_045,Blueprint prompt,1,1,,True,,1.5540422464200796,1.262177448353619e-28,41.28652968025249,0.9989318714938094,-944.15974388893,exp_floor,-620.3342869259485,323.82545696298143,1.0,0.59,1.0,0.0,0.0055222088835534
decay_setting_046,Baseline prompt,1,1,,True,,1.2013375492137195,0.0314956163467952,16.2724269252545,0.9684905057248852,-666.5029182122278,power_floor,-828.6438499547523,-162.14093174252457,0.0,0.4,1.0,0.0,0.0038872691933916
decay_setting_046,Blueprint prompt,1,1,,True,,1.6118524038443447,0.0355985610965726,28.110100272766573,0.9906893432451286,-746.9435916070696,exp_floor,-854.1046042222941,-107.16101261522454,0.0,0.47,1.0,0.0,0.0055555555555555
decay_setting_047,Baseline prompt,1,1,,True,,1.4506213544695317,0.0122032959971782,26.01521266576338,0.9982227754029088,-919.7885206953612,exp_floor,-746.209432880674,173.5790878146871,1.0,0.44,1.0,0.0,0.0019436345966958
decay_setting_047,Blueprint prompt,1,1,,True,,1.611869910684996,0.0313526193937417,34.830488875558906,0.989544136058963,-722.7841648898135,exp_floor,-883.1502651527406,-160.36610026292715,0.0,0.55,1.0,0.0,0.005656610470275
decay_setting_048,Baseline prompt,1,1,,True,,1.2771181965392415,0.0099048081294195,29.46221082087064,0.9916297823603192,-761.1138788725061,exp_floor,-818.6097606513512,-57.495881778845046,0.0,0.54,1.0,0.0,0.0036014405762305
decay_setting_048,Blueprint prompt,1,1,,True,,1.3142487898844988,4.153190729947043e-24,43.68096841272148,0.9926144931055536,-760.3932511765742,exp_floor,-681.3323330874618,79.0609180891123,1.0,0.66,1.0,0.0,0.0040341718082581
decay_setting_049,Baseline prompt,1,1,,True,,1.2260534194173538,0.0149658448524646,16.92004214461255,0.9915494924141172,-796.0388545008943,exp_floor,-978.0298753349724,-181.9910208340782,0.0,0.37,1.0,0.0,0.0030369290573372
decay_setting_049,Blueprint prompt,1,1,,True,,1.517900409417679,0.0259889858546527,23.29561361302015,0.9860673539892552,-717.5278390302909,exp_floor,-923.8209620553316,-206.2931230250407,0.0,0.43,1.0,0.0,0.0052154195011337
decay_setting_050,Baseline prompt,1,1,,True,,1.811725731010888,0.0056481418234547,26.25954825257403,0.998914615694548,-960.0379964515612,exp_floor,-632.7733062577508,327.2646901938102,1.0,0.38,1.0,0.0,0.0034013605442176
decay_setting_050,Blueprint prompt,1,1,,True,,1.8856273238760148,0.0667827005784372,41.21487493161841,0.9897790557604292,-716.7795491943937,exp_floor,-763.2493332196956,-46.46978402530192,0.0,0.59,1.0,0.0,0.0056179775280898
decay_setting_051,Baseline prompt,1,1,,True,,1.5016453656488769,0.0097116246104153,23.94761963444513,0.9937318308211632,-798.9323636057596,exp_floor,-635.3476820951923,163.5846815105673,1.0,0.39,0.9696969696969696,3.0,0.0041621911922663
decay_setting_051,Blueprint prompt,1,1,,True,,1.7225253742261657,0.051552378153793,41.15056240990755,0.988057744304863,-705.8131514219347,exp_floor,-658.5511421904253,47.26200923150941,1.0,0.61,0.8181818181818182,18.0,0.0031397174254317
decay_setting_052,Baseline prompt,1,1,,True,,1.5893491917536653,4.4865230611691126e-30,27.943526348345948,0.9987442131414852,-944.1004482910809,exp_floor,-667.2310880290264,276.8693602620544,1.0,0.43,1.0,0.0,0.0038415366146458
decay_setting_052,Blueprint prompt,1,1,,True,,1.6061406800903006,0.015023009479648,28.5064459169482,0.9943450086197896,-792.8192207346166,exp_floor,-787.7342711353976,5.08494959921893,1.0,0.46,1.0,0.0,0.0054421768707482
decay_setting_053,Baseline prompt,1,1,,True,,0.9529754322043408,0.0029797681295554,12.811655135933826,0.9985421036585534,-997.6843690673104,exp_floor,-800.4869169240745,197.19745214323572,1.0,0.31,1.0,0.0,0.0034985422740524
decay_setting_053,Blueprint prompt,0,0,empty,,,,,,,,,,,,,,,
decay_setting_054,Baseline prompt,1,1,,True,,0.6413766666504209,0.0030140451600218,9.673249459418136,0.9986384487475142,-1024.8435241951236,exp_floor,-912.025389352868,112.81813484225552,1.0,0.33,1.0,0.0,0.0029827315541601
decay_setting_054,Blueprint prompt,1,1,,True,,1.4445294233620274,0.0135832614028516,35.662846708483926,0.994155401094233,-784.3218985726039,exp_floor,-768.2560849505766,16.06581362202735,1.0,0.56,1.0,0.0,0.0060296846011131
decay_setting_055,Baseline prompt,1,1,,True,,1.534329766058375,0.0138239554319067,28.94567738028409,0.998199577782134,-910.0331789989974,exp_floor,-735.2434167944261,174.78976220457128,1.0,0.47,1.0,0.0,0.0026724975704567
