generation_id,prompt_condition,transport_success,valid_rows,invalid_rows,exact_100_valid_rows,fit_valid,fit_reason,adjusted_r2,cv_r2,condition_number,beta_residential_density,beta_functional_mix,beta_short_blocks,beta_aged_buildings,beta_tall_buildings,unique_ratio_residential_density,unique_ratio_functional_mix,unique_ratio_mean_block_area_m2,unique_ratio_aged_buildings,unique_ratio_tall_buildings,unique_ratio_pedestrian_activity
vitality_baseline_026,Baseline prompt,1,100,0,1,1,,0.9781401918790246,0.977211739909876,12.490646043708098,0.3565898784407056,0.1663507353495812,0.3331332145816152,0.015502687293043,0.1700933065063286,0.27,0.24,0.32,0.08,0.07,0.55
vitality_blueprint_026,Blueprint prompt,1,100,0,1,1,,0.9947051090457792,0.9941880057504698,27.73549894056084,0.8779533013170011,0.0408748042753652,-0.0573494801548649,-0.1246755448648369,0.0118404962636301,0.36,0.26,0.36,0.57,0.37,0.67
vitality_baseline_027,Baseline prompt,1,100,0,1,1,,0.9994767555115344,0.999099853362743,13.376756553002608,0.9945394682133282,0.0349570924957412,0.0216829633980054,0.0177372488121598,-0.0352518483772222,0.38,0.17,0.31,0.15,0.17,0.38
vitality_blueprint_027,Blueprint prompt,1,100,0,1,1,,0.9766770263189244,0.9749921705204748,16.462297151455626,0.7041346218338493,-0.0036773728996225,0.3064367725851217,-0.1744284976026624,-0.1982530077086113,0.43,0.28,0.61,0.19,0.35,0.45
vitality_baseline_028,Baseline prompt,1,100,0,1,1,,0.989715478467014,0.9881521689951858,18.73935862953088,0.8482659912343877,-0.111289678430971,-0.068009611876265,-0.4340922978235281,-0.1075980789317366,0.66,0.53,0.49,0.56,0.27,0.62
vitality_blueprint_028,Blueprint prompt,1,100,0,1,1,,0.9863204547680776,0.98558506129681,14.988198491177004,0.7546339850259118,-0.030652705426528,0.2831326035743173,-0.1267817075492534,-0.1379437848079935,0.49,0.23,0.45,0.65,0.4,0.6
vitality_baseline_029,Baseline prompt,1,100,0,1,1,,0.9793159379107756,0.9768587407857928,12.560453866298827,0.5585560490485779,0.1270245209948514,0.1925865069120124,-0.0822354976527568,0.0508131650878872,0.24,0.18,0.27,0.17,0.19,0.45
vitality_blueprint_029,Blueprint prompt,1,100,0,1,1,,0.9599713588502684,0.9572193574852084,18.520578172126708,0.5488216689887677,0.0428705634066124,0.0243851681526937,-0.5188386712594965,-0.1525767224557606,0.28,0.27,0.47,0.24,0.26,0.41
vitality_baseline_030,Baseline prompt,1,100,0,1,1,,0.9794653900243931,0.9742819375311128,17.13804793209492,0.6262168402224991,0.2231277564388705,0.0617333804084062,-0.1280447753656756,-0.0385232969460595,0.23,0.08,0.24,0.07,0.11,0.47
vitality_blueprint_030,Blueprint prompt,1,100,0,1,1,,0.9498451915171472,0.9462029375480736,14.902274193271593,0.393128458064708,0.0941797914061279,0.1408905857546228,-0.5326291870157929,-0.1553545984066114,0.56,0.24,0.39,0.17,0.08,0.36
vitality_baseline_031,Baseline prompt,1,100,0,1,1,,0.9742268469474274,0.9739850057458752,15.941320694095117,0.6370297068365125,0.4041398478575877,0.0477333400937518,0.130803600213469,-0.2308918287625282,0.19,0.1,0.43,0.08,0.08,0.43
vitality_blueprint_031,Blueprint prompt,1,100,0,1,1,,0.9901033553905328,0.988299431007564,14.372771393889709,0.3465909390252412,0.0628814333052368,0.3102473645869126,-0.2486488448964027,0.0425832217809553,0.38,0.26,0.72,0.6,0.33,0.55
vitality_baseline_032,Baseline prompt,1,100,0,1,1,,0.9600911028223866,0.9570859769227252,11.44361729441944,0.6738007904072998,0.2229313552183253,0.0998269052004295,-0.0626800061065996,-0.057619237662067,0.28,0.09,0.35,0.09,0.09,0.27
