generation_id,prompt_condition,transport_success,valid_n,rejected_n,complete_100,fit_status,population_unique_ratio,population_log_range,road_unique_ratio,road_log_range,gdp_unique_ratio,gdp_log_range
distribution_blueprint_023,Blueprint prompt,1,100,0,1,ok,1.0,2.6989700043360187,0.94,2.6766936096248664,0.99,2.795880017344075
distribution_baseline_024,Baseline prompt,1,100,0,1,ok,1.0,0.5952754608736832,0.69,0.4422837435671449,0.66,0.5755524408482522
distribution_blueprint_024,Blueprint prompt,1,100,0,1,ok,1.0,2.688246138944246,1.0,1.8973376581028525,1.0,2.096910013008056
distribution_baseline_025,Baseline prompt,1,100,0,1,ok,0.37,0.4126632654927435,0.5,0.6387827983527021,0.54,0.7247772679423043
distribution_blueprint_025,Blueprint prompt,1,100,0,1,ok,1.0,2.6478174818886373,0.84,2.6651117370750512,1.0,2.096910013008056
distribution_baseline_026,Baseline prompt,1,100,0,1,ok,1.0,0.912441993308506,0.98,0.9966463579924124,1.0,1.0978211908455648
distribution_blueprint_026,Blueprint prompt,1,100,0,1,ok,1.0,2.6020599913279625,0.98,2.433655560938572,1.0,3.397940008672037
distribution_baseline_027,Baseline prompt,1,100,0,1,ok,0.78,0.3074972315902622,0.85,0.2928355170487093,0.99,0.3009856278361953
distribution_blueprint_027,Blueprint prompt,1,91,1,0,ok,0.978021978021978,2.6478174818886373,0.978021978021978,1.6847295652214087,0.989010989010989,2.318758762624413
distribution_baseline_028,Baseline prompt,1,100,0,1,ok,0.97,0.8360093845251839,1.0,0.882422363038069,1.0,2.700175045854607
distribution_blueprint_028,Blueprint prompt,1,100,0,1,ok,1.0,2.6197887582883936,1.0,2.079181246047625,1.0,2.1938200260161125
distribution_baseline_029,Baseline prompt,1,100,0,1,ok,1.0,0.8367960184017829,0.53,0.5587913011709822,0.79,0.8496141411792202
distribution_blueprint_029,Blueprint prompt,1,100,0,1,ok,1.0,2.6777807052660805,1.0,1.9678153166285992,0.87,2.796400858280261
distribution_baseline_030,Baseline prompt,1,100,0,1,ok,0.99,0.6887315386975699,0.71,0.553613362256506,0.55,0.6690067809585756
distribution_blueprint_030,Blueprint prompt,1,100,0,1,ok,1.0,3.0222763947111524,1.0,3.046743403542326,1.0,3.6110148339808887
distribution_baseline_031,Baseline prompt,1,91,0,0,ok,1.0,0.5674916957458658,0.8791208791208791,0.3880719899196485,0.4065934065934066,0.6863808770279984
distribution_blueprint_031,Blueprint prompt,1,100,0,1,ok,1.0,2.585026652029182,1.0,2.1076338783998296,0.99,2.221848749616356
distribution_baseline_032,Baseline prompt,1,100,0,1,ok,0.67,0.3544743148909468,0.69,0.4057653461839945,0.54,0.4597471586502397
distribution_blueprint_032,Blueprint prompt,1,100,0,1,ok,1.0,2.6020599913279625,1.0,2.163965982954884,0.88,2.486076097372589
distribution_baseline_033,Baseline prompt,1,100,0,1,ok,0.27,0.662752019612376,0.64,0.3855075815215545,0.07,0.5791831095052951
distribution_blueprint_033,Blueprint prompt,1,100,0,1,ok,1.0,2.3010299956639813,0.99,2.011281010409689,0.93,2.920818753952375
distribution_baseline_034,Baseline prompt,1,100,0,1,ok,0.78,0.5568632425907056,0.59,0.5563025007672873,0.66,0.6488033948702885
distribution_blueprint_034,Blueprint prompt,1,92,0,0,ok,1.0,2.6020599913279625,1.0,1.903089986991944,1.0,2.658271635044148
distribution_baseline_035,Baseline prompt,1,100,0,1,ok,1.0,0.982029100953178,0.65,0.6135398090113928,0.74,1.1165055690714372
